taxa,Tissue_type,Comment,FA_ID,Site,Site_Abbrev,Box,Chick,Collection_date,size_g_or_mm,Scientific_name,CryoBox,taxa2,matrix_id,PtLipids
Tree_Swallow,portion,.,35,Emiquon South,ES,907,.,6/3/10,20.7,Tachycineta bicolor,2,Tree_,Tree_,14.67040811
Tree_Swallow,portion,.,36,Emiquon South,ES,900,.,6/6/10,20.4,Tachycineta bicolor,2,Tree_,Tree_,15.4601227
Tree_Swallow,portion,.,37,Emiquon South,ES,914,.,6/6/10,20.3,Tachycineta bicolor,2,Tree_,Tree_,15.213633
Tree_Swallow,portion,"Changed from box 953 Big Lake North, mislabeled in field, see field data sheet",38,Emiquon South,ES,917,.,6/6/10,20.4,Tachycineta bicolor,2,Tree_,Tree_,16.02669549
Tree_Swallow,portion,.,39,Emiquon South,ES,905,.,6/7/10,21.2,Tachycineta bicolor,2,Tree_,Tree_,19.85509905
Tree_Swallow,portion,.,40,Emiquon South,ES,903,.,6/10/10,21.2,Tachycineta bicolor,2,Tree_,Tree_,16.92337879
Tree_Swallow,portion,.,41,Emiquon South,ES,919,.,6/10/10,19,Tachycineta bicolor,2,Tree_,Tree_,14.83981323
Tree_Swallow,portion,.,42,Emiquon South,ES,911,.,6/18/10,21.5,Tachycineta bicolor,2,Tree_,Tree_,17.04829517
Tree_Swallow,portion,.,43,Lawrence Lake,LL,409,.,5/30/10,22.17,Tachycineta bicolor,2,Tree_,Tree_,17.72836538
Tree_Swallow,portion,.,44,Lawrence Lake,LL,410,.,6/3/10,20.09,Tachycineta bicolor,2,Tree_,Tree_,14.10835214
Tree_Swallow,portion,.,45,Lawrence Lake,LL,417,.,6/5/10,22.95,Tachycineta bicolor,2,Tree_,Tree_,18.17323578
Tree_Swallow,portion,.,46,Lawrence Lake,LL,412,.,6/8/10,24.6,Tachycineta bicolor,2,Tree_,Tree_,15.48308443
Tree_Swallow,portion,.,47,Lawrence Lake,LL,419,.,6/9/10,23.86,Tachycineta bicolor,2,Tree_,Tree_,15.98844209
Tree_Swallow,portion,.,48,Lawrence Lake,LL,413,.,6/12/10,19.35,Tachycineta bicolor,2,Tree_,Tree_,16.45971701
Tree_Swallow,portion,.,49,Lawrence Lake,LL,414,.,6/17/10,22.59,Tachycineta bicolor,2,Tree_,Tree_,17.67766769
Tree_Swallow,portion,.,50,Lawrence Lake,LL,416,.,6/18/10,21.29,Tachycineta bicolor,2,Tree_,Tree_,17.19818865
Tree_Swallow,portion,.,51,Lawrence Lake,LL,405,.,6/19/10,21.77,Tachycineta bicolor,2,Tree_,Tree_,18.68632571
Tree_Swallow,portion,.,52,Lawrence Lake,LL,402,.,6/20/10,20.58,Tachycineta bicolor,2,Tree_,Tree_,15.64140248
Tree_Swallow,portion,.,53,Shellhorn,SH,518,.,5/29/10,23.08,Tachycineta bicolor,2,Tree_,Tree_,16.80417067
Tree_Swallow,portion,.,54,Shellhorn,SH,508,.,6/2/10,23.77,Tachycineta bicolor,2,Tree_,Tree_,14.98481605
Tree_Swallow,portion,.,55,Shellhorn,SH,514,.,6/3/10,26.01,Tachycineta bicolor,2,Tree_,Tree_,17.21213331
Tree_Swallow,portion,.,56,Shellhorn,SH,509,.,6/4/10,21.07,Tachycineta bicolor,2,Tree_,Tree_,16.72240803
Tree_Swallow,portion,.,57,Shellhorn,SH,503,.,6/6/10,22.08,Tachycineta bicolor,2,Tree_,Tree_,19.02023107
Tree_Swallow,portion,.,58,Shellhorn,SH,506,.,6/6/10,21.03,Tachycineta bicolor,2,Tree_,Tree_,15.36573392
Tree_Swallow,portion,.,59,Shellhorn,SH,505,.,6/7/10,23.12,Tachycineta bicolor,2,Tree_,Tree_,16.15330591
Tree_Swallow,portion,.,60,Shellhorn,SH,507,.,6/7/10,22.46,Tachycineta bicolor,2,Tree_,Tree_,15.28355879
