SPEC_ID,BS_ID,TC_ID,TC_ID2,SEX,WELL_NO,FOIL_TEAR DRY WT,SAMPLE DRY WT
592,29,99,,,F-3,0.0241,0.0243
593,29,99,,,F-4,0.0236,0.0241
594,29,99,,,F-5,0.0199,0.0203
595,29,99,,,F-6,0.023,0.0237
596,29,100,,,F-7,0.0201,0.0212
597,29,100,,,F-8,0.0221,0.0248
598,29,101,,,F-9,0.0193,0.0278
599,30,101,,,F-10,0.0209,0.0229
600,30,102,,,F-11,0.0201,0.0208
601,30,102,,,F-12,0.0234,0.024
602,30,102,,,K-1,0.0304,0.0312
603,30,102,,,K-2,0.0239,0.0243
604,30,102,,,K-3,0.0244,0.0252
605,30,102,,,K-4,0.0273,0.0277
606,30,102,,,K-5,0.0283,0.0289
607,30,102,,,K-6,0.0349,0.0353
608,30,102,,,K-7,0.0348,0.035
609,30,102,,,K-8,0.0355,0.0361
610,30,102,,,K-9,0.0357,0.036
611,30,102,,,K-10,0.0314,0.0318
612,30,102,,,K-11,0.0311,0.0317
613,30,102,,,K-12,0.0344,0.0346
614,30,102,,,L-1,0.029,0.0299
615,30,102,,,L-2,0.0299,0.03
616,30,102,,,L-3,0.0294,0.0295
617,30,102,,,L-4,0.0282,0.0282
618,30,102,,,L-5,0.027,0.0268
619,30,102,,,L-6,0.0223,0.0223
620,30,102,,,L-7,0.0295,0.0295
